"Time (s)","Gyroscope x (rad/s)","Gyroscope y (rad/s)","Gyroscope z (rad/s)","Absolute (rad/s)"
1.621400500E0,1.532356590E-1,2.726995014E-2,5.118222907E-3,1.557273694E-1
1.631359333E0,1.574119329E-1,3.108769655E-2,1.370306127E-3,1.604582165E-1
1.641316333E0,1.543514282E-1,3.842470422E-2,-4.438847303E-3,1.591242428E-1
1.651274333E0,1.453226954E-1,4.341155663E-2,-1.012467127E-2,1.520057828E-1
1.661232333E0,1.300230920E-1,4.878075421E-2,-6.976014934E-3,1.390475862E-1
1.671189333E0,1.069366932E-1,5.146040022E-2,-6.067536771E-3,1.188294751E-1
1.681147333E0,7.842329144E-2,5.314325541E-2,-2.482122742E-3,9.476591777E-2
1.691104333E0,4.057621956E-2,5.911552534E-2,-3.568552434E-3,7.179003758E-2
1.701062333E0,6.524511613E-3,6.646984071E-2,-9.213387966E-3,6.742177314E-2
1.711019333E0,-2.660228126E-2,7.327051461E-2,-1.490703691E-2,7.936289705E-2
1.720977333E0,-6.270649284E-2,7.834596932E-2,-1.921949163E-2,1.021742825E-1
1.730934333E0,-9.248249233E-2,8.273410797E-2,-1.791575924E-2,1.253751109E-1
1.740892333E0,-1.156163067E-1,8.753845096E-2,-2.054776251E-2,1.464661098E-1
1.750849333E0,-1.346863210E-1,9.064596146E-2,-2.806840278E-2,1.647571869E-1
1.760807333E0,-1.445706338E-1,9.470222145E-2,-3.003115393E-2,1.754167868E-1
1.770764333E0,-1.427297741E-1,1.018397361E-1,-3.222231194E-2,1.782733790E-1
1.780722333E0,-1.282823831E-1,1.015473232E-1,-3.609960899E-2,1.675452489E-1
1.790679333E0,-1.108039767E-1,1.051708981E-1,-3.195651621E-2,1.560758085E-1
1.800637333E0,-9.661492705E-2,1.060396209E-1,-2.813807689E-2,1.461868555E-1
1.810594333E0,-7.599397749E-2,1.115855202E-1,-2.617813088E-2,1.375198439E-1
1.820552333E0,-5.306416750E-2,1.131482646E-1,-2.867670916E-2,1.282212514E-1
1.830510333E0,-2.730376832E-2,1.164293140E-1,-3.847642988E-2,1.256253023E-1
1.840467333E0,2.966998145E-4,1.110816896E-1,-4.509252310E-2,1.198856348E-1
1.850425333E0,2.467218786E-2,1.127767190E-1,-4.659593850E-2,1.244929183E-1
1.860382333E0,4.491913691E-2,1.098752022E-1,-4.443318397E-2,1.267461903E-1
1.870340333E0,6.446833163E-2,1.059466228E-1,-4.712465405E-2,1.326709678E-1
1.880297333E0,7.906191796E-2,1.018405631E-1,-5.590002984E-2,1.405243769E-1
1.890255333E0,8.906589448E-2,9.817848355E-2,-6.643800437E-2,1.482759475E-1
1.900212333E0,9.667001665E-2,9.949675202E-2,-7.016882300E-2,1.554617622E-1
1.910170333E0,8.492300659E-2,9.620371461E-2,-6.422853470E-2,1.435004405E-1
1.920127333E0,7.016909122E-2,9.330806136E-2,-5.187013745E-2,1.277521305E-1
1.930085333E0,3.997788951E-2,8.879733831E-2,-4.607285932E-2,1.077307166E-1
1.940042333E0,1.163226832E-2,8.624362946E-2,-4.332340881E-2,9.721209307E-2
1.950000333E0,-2.119650505E-2,7.975022495E-2,-4.994082823E-2,9.645453090E-2
1.959957333E0,-4.908006638E-2,7.551766187E-2,-5.388843641E-2,1.049558657E-1
1.969915333E0,-8.441630751E-2,7.007396966E-2,-4.642836004E-2,1.191304613E-1
1.979872333E0,-1.159774289E-1,6.388744712E-2,-3.971186653E-2,1.382367616E-1
1.989830333E0,-1.408004761E-1,5.111013725E-2,-3.915766254E-2,1.548235858E-1
1.999788333E0,-1.597568691E-1,4.309349135E-2,-4.511355609E-2,1.715066738E-1
2.009745333E0,-1.696868986E-1,3.366475180E-2,-5.318775401E-2,1.809859007E-1
2.019703333E0,-1.713228822E-1,2.769874036E-2,-5.404023454E-2,1.817666007E-1
2.029660333E0,-1.686866283E-1,2.228426747E-2,-4.472875595E-2,1.759330235E-1
2.039618333E0,-1.611892879E-1,1.761681214E-2,-2.982411161E-2,1.648690882E-1
2.049575333E0,-1.490549743E-1,1.163722016E-2,-1.538925990E-2,1.502985016E-1
2.059533333E0,-1.290639341E-1,6.945263594E-3,-1.481428184E-2,1.300968820E-1
2.069490333E0,-1.054275930E-1,1.262394246E-3,-1.946750656E-2,1.072173252E-1
2.079448333E0,-7.498472929E-2,-2.680682112E-3,-2.125315741E-2,7.798456503E-2
2.089405333E0,-5.208402127E-2,-3.977965564E-3,-1.624597237E-2,5.470375764E-2
2.099363333E0,-2.009253204E-2,-1.228250097E-2,-9.431209415E-3,2.536764445E-2
2.109320333E0,6.704542786E-3,-1.887459122E-2,-6.265078671E-3,2.098695543E-2
2.119278333E0,3.435587883E-2,-2.584594674E-2,-1.144306269E-2,4.448913414E-2
2.129235333E0,6.250442564E-2,-2.987352386E-2,-2.272904664E-2,7.290980877E-2
2.139193333E0,8.055105805E-2,-3.249407187E-2,-2.596744895E-2,9.065674859E-2
2.149150333E0,1.000286266E-1,-3.605362773E-2,-1.693248376E-2,1.076675402E-1
2.159108333E0,1.059339195E-1,-4.135491699E-2,-1.333721727E-2,1.144993705E-1
2.169065333E0,1.045977101E-1,-5.060971156E-2,-1.837017946E-3,1.162127295E-1
2.179023333E0,9.332268685E-2,-5.226353556E-2,1.659180038E-3,1.069736131E-1
2.188980333E0,7.435318083E-2,-5.885012448E-2,3.595477436E-3,9.489288755E-2
2.198938333E0,4.918870330E-2,-5.792574584E-2,6.124948151E-3,7.623933075E-2
2.208896333E0,2.322359756E-2,-5.931764469E-2,1.056963671E-2,6.457271618E-2
2.218853333E0,-4.863165319E-3,-6.286498159E-2,1.378567051E-2,6.454224197E-2
2.228811333E0,-3.671341762E-2,-6.772264093E-2,1.625245623E-2,7.872974953E-2
2.238768333E0,-6.321453303E-2,-6.981188804E-2,1.480928902E-2,9.533672922E-2
2.248726333E0,-8.291029930E-2,-7.229763269E-2,1.117816940E-2,1.105713204E-1
2.258683333E0,-1.005026028E-1,-7.235489041E-2,5.918426439E-3,1.239799625E-1
2.268641333E0,-1.079252884E-1,-7.660280913E-2,3.654817119E-4,1.323479951E-1
2.278598333E0,-1.070416495E-1,-7.711120695E-2,9.135536849E-3,1.322403532E-1
2.288556333E0,-1.057521403E-1,-7.655900717E-2,1.929937862E-2,1.319744777E-1
2.298513333E0,-9.764973819E-2,-7.718884200E-2,2.614769712E-2,1.271899790E-1
2.308471333E0,-8.925012499E-2,-7.323825359E-2,3.140276298E-2,1.196476499E-1
2.318428333E0,-6.744576246E-2,-6.971995533E-2,3.295165673E-2,1.024481075E-1
2.328386333E0,-4.289549962E-2,-6.752703339E-2,2.952392772E-2,8.527359752E-2
2.338343333E0,-1.860507205E-2,-6.377969682E-2,3.666226566E-2,7.588227827E-2
2.348301333E0,1.258932799E-2,-6.339814514E-2,4.029610753E-2,7.616818410E-2
2.358258333E0,4.687406495E-2,-6.296085566E-2,4.051581770E-2,8.833333909E-2
2.368216333E0,8.464566618E-2,-6.540948898E-2,3.613822535E-2,1.129126272E-1
2.378174333E0,1.187639609E-1,-6.354633719E-2,2.929363772E-2,1.378445958E-1
2.388131333E0,1.495389342E-1,-6.323289871E-2,2.298225090E-2,1.639770599E-1
2.398089333E0,1.701768339E-1,-5.884987116E-2,2.270954475E-2,1.814915578E-1
2.408046333E0,1.793127060E-1,-5.769442022E-2,3.319789469E-2,1.912689020E-1
2.418004333E0,1.800235063E-1,-5.375906453E-2,3.964860365E-2,1.920169566E-1
2.427961333E0,1.734123677E-1,-4.685980082E-2,4.582929239E-2,1.853861220E-1
2.437919333E0,1.531212181E-1,-4.600546136E-2,4.393898323E-2,1.658108686E-1
2.447876333E0,1.282795221E-1,-4.393632337E-2,4.130074009E-2,1.417455023E-1
